Time (min),Irradiance (W/m^2)
986.111,310.8387
987.103,301.7544
988.095,304.6129
989.087,308.3842
990.079,304.4375
991.071,309.313
992.063,309.6541
993.056,312.2412
994.048,312.2341
995.040,311.843
996.032,312.7859
997.024,313.7954
998.016,315.6758
999.008,315.8996
1000.000,314.708
1000.992,313.5642
1001.984,315.8233
1002.976,298.8543
1003.968,300.3154
1004.960,297.2701
1005.952,272.4209
1006.944,282.6058
1007.937,296.5732
1008.929,286.1195
1009.921,272.3678
1011.905,239.7408
1012.897,292.1268
1013.889,250.8708
1014.881,246.4208
1015.873,288.4424
1017.857,302.2018
1018.849,304.929
1019.841,311.5381
1020.833,268.3665
1021.825,241.6208
1022.817,234.8971
1023.810,259.2554
1024.802,261.9186
1025.794,246.876
1026.786,196.2998
1027.778,104.8356
1028.770,124.8927
1029.762,134.4167
1030.754,131.4942
1031.746,197.2327
1032.738,196.0844
1033.730,154.7015
1034.722,151.1168
1036.706,154.1562
1037.698,224.5164
1038.690,259.9836
1039.683,279.2727
1040.675,281.7823
1041.667,279.4339
1042.659,276.2405
1043.651,271.4501
1044.643,257.5319
1045.635,233.8698
1046.627,252.1004
1047.619,229.2352
1048.611,215.6941
1049.603,227.7728
1050.595,225.4226
1051.587,224.3993
1052.579,244.7133
1053.571,221.6121
1054.563,249.6144
1055.556,233.6367
1056.548,237.9304
1057.540,230.579
1058.532,243.496
1059.524,227.4368
1060.516,241.2447
1061.508,250.7579
1062.500,245.3156
1063.492,239.061
1064.484,242.7036
1065.476,245.5405
1066.468,244.651
1067.460,236.0646
1068.452,237.5297
1069.444,237.9363
1070.437,238.0361
1071.429,237.6151
1072.421,235.4977
1073.413,229.9703
1074.405,213.4734
1075.397,232.1971
1076.389,224.0826
1077.381,220.3573
1078.373,213.2051
1080.357,200.7742
1081.349,170.8779
1082.341,209.7908
1083.333,215.0707
1084.325,209.786
1085.317,204.3223
1086.310,197.966
1087.302,195.0252
1088.294,192.9391
1089.286,184.7724
1090.278,182.8728
1091.270,179.5059
1092.262,175.0083
1093.254,173.6786
1094.246,171.7527
1095.238,170.4008
1096.230,169.6784
1097.222,168.2138
1098.214,152.0548
1099.206,166.453
1100.198,163.4407
1101.190,159.405
1102.183,156.2948
1103.175,154.8303
1104.167,152.8383
1105.159,150.8545
1106.151,150.7821
1107.143,150.8618
1108.135,149.7282
1109.127,148.0399
1110.119,146.2496
1111.111,144.8589
1112.103,143.0855
1113.095,142.5166
1114.087,140.2033
1115.079,137.557
1116.071,137.0739
1117.063,136.2711
1118.056,135.7512
1119.048,135.3277
1120.040,135.079
1121.032,134.5297
1122.024,133.0462
1123.016,132.7927
1124.008,132.1658
1125.000,131.0672
1125.992,129.88
1126.984,127.9198
1127.976,126.3401
1128.968,124.4209
1129.960,122.6998
